Ref,Val,Package,PosX,PosY,Rot,Side
"J1","RJ45","RJ45_Amphenol_54602-x08_Horizontal",-68.620000,-47.087500,-90.000000,bottom
"J2","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",-67.240000,-38.810000,90.000000,bottom
"Q4","BC548","TO-92_Inline",-48.440000,-65.770000,0.000000,bottom
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",50.440000,-41.960000,-90.000000,top
"D1","LED","LED_D3.0mm",58.595000,-45.440000,0.000000,top
"D4","LED","LED_D3.0mm",58.485000,-56.950000,0.000000,top
"D5","1N4148W","D_SOD-123",57.060000,-66.340000,180.000000,top
"J3","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Horizontal",63.505000,-62.980000,90.000000,top
"R1","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",59.742500,-51.250000,0.000000,top
"R14","1.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",49.390000,-57.570000,180.000000,top
"R18","1.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",60.000000,-61.450000,180.000000,top
"R19","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",49.532500,-61.610000,0.000000,top
